date,Open,High,Low,Close,Volume,ma_price,std,lower_bend,upper_bend,open_price,first_stop,action,open_date,open_n,direction,open_action,limit,max_loss,pnl,close_price,close_date,close_n,close_action,pnl_cumsum
2019-09-19 04:00:00,9820.96,9916.0,9780.75,9893.16,2051.2830000000004,10222.205300000001,110.32810986861706,10001.549080262766,10442.861519737236,10252.14,10038.469320887094,o_long,2019-09-17 18:00:00,105.0,long,o_long,10444.502479112909,False,-430.1700000000001,9821.97,2019-09-19 04:00:00,122.0,e_long,-430.1700000000001
2019-09-22 02:00:00,9905.61,9940.56,9872.07,9872.07,1904.175,10177.945099999995,135.49181334615096,9906.961473307694,10448.928726692297,10239.05,9954.833465904856,o_long,2019-09-19 22:00:00,131.0,long,o_long,10473.717334095145,False,-333.1799999999985,9905.87,2019-09-22 02:00:00,157.0,e_long,-763.3499999999985
2019-10-06 14:00:00,7899.58,8045.51,7861.0,7995.98,4873.648,8149.354,125.08170742907636,7899.190585141848,8399.517414858154,8250.79,7663.546655345114,o_long,2019-10-02 20:00:00,286.0,long,o_long,8821.529544654875,False,-350.97000000000116,7899.82,2019-10-06 14:00:00,331.0,e_long,-1114.3199999999997
2019-10-09 16:00:00,8549.48,8633.54,8490.9,8614.85,8185.072000000002,8151.2804000000015,138.91682356930403,7873.446752861393,8429.11404713861,8144.0,7827.2975703552665,o_long,2019-10-07 14:00:00,343.0,long,o_long,8420.555429644737,False,406.09000000000015,8550.09,2019-10-09 16:00:00,368.0,e_long,-708.2299999999996
2019-10-16 12:00:00,8060.33,8060.33,7900.24,7996.82,13560.889999999998,8321.738699999996,134.97980620140095,8051.779087597194,8591.698312402797,8245.47,8666.005863025899,o_short,2019-10-13 22:00:00,419.0,short,o_short,7843.601736974098,False,185.13999999999942,8060.33,2019-10-16 12:00:00,450.0,e_short,-523.0900000000001
2019-10-23 14:00:00,7466.9,7498.0,7419.93,7420.87,12421.326,8056.9072,151.17978159740238,7754.547636805195,8359.266763194804,8133.0,7787.318841832677,o_long,2019-10-20 18:00:00,501.0,long,o_long,8469.181558167318,False,-664.29,7468.71,2019-10-23 14:00:00,535.0,e_long,-1187.38
2019-10-25 20:00:00,8633.45,8654.78,8550.0,8594.98,8857.427000000001,7924.824700000002,307.6725617560444,7309.479576487913,8540.169823512091,8264.52,7336.0315398050125,o_long,2019-10-25 16:00:00,560.0,long,o_long,8483.209060194997,False,367.2099999999991,8631.73,2019-10-25 20:00:00,562.0,e_long,-820.170000000001
2019-11-08 10:00:00,9051.05,9075.0,9015.82,9033.3,9105.61,9240.872099999997,91.48982400006932,9057.892451999858,9423.851748000136,9265.0,9657.123714399499,o_short,2019-11-03 06:00:00,663.0,short,o_short,8903.944485600496,False,213.75,9051.25,2019-11-08 10:00:00,725.0,e_short,-606.420000000001
2019-12-14 16:00:00,7057.3,7083.97,7007.86,7061.14,16730.861,7327.487999999991,137.614395983412,7052.259208033167,7602.716791966815,7548.93,6529.778355795415,o_long,2019-11-27 18:00:00,957.0,long,o_long,8301.773244204573,False,-491.6199999999999,7057.31,2019-12-14 16:00:00,1160.0,e_long,-1098.0400000000009
2019-12-22 20:00:00,7396.79,7450.0,7375.1,7393.49,13253.239999999998,7042.715799999998,179.983237256583,6682.749325486832,7402.682274513164,7121.01,6680.187687269893,o_long,2019-12-18 22:00:00,1211.0,long,o_long,7451.835512730097,False,275.8299999999999,7396.84,2019-12-22 20:00:00,1258.0,e_long,-822.210000000001
