date,Open,High,Low,Close,Volume,open_price,first_stop,action,open_date,open_n,direction,open_action,limit,max_loss,pnl,close_price,close_date,close_n,close_action,pnl_cumsum
2019-10-26 00:00:00,8650.0,10408.48,8626.89,10044.0,66136.276,8184.65,8863.715419999991,o_short,2019-10-21 20:00:00,514.0,short,o_short,False,False,-465.35000000000036,8650.0,2019-10-26 00:00:00,564.0,e_short,-465.35000000000036
2019-11-15 02:00:00,8559.15,8589.0,8515.0,8556.28,15108.237000000005,8870.49,8504.582620000001,o_long,2019-11-08 22:00:00,731.0,long,o_long,False,False,-311.34000000000015,8559.15,2019-11-15 02:00:00,805.0,e_long,-776.6900000000005
2019-12-23 02:00:00,7604.64,7637.56,7539.15,7590.4,13619.510000000002,7454.28,8215.440440000006,o_short,2019-12-09 10:00:00,1097.0,short,o_short,False,False,-150.32999999999993,7604.61,2019-12-23 02:00:00,1261.0,e_short,-927.0200000000004
2019-12-29 14:00:00,7387.52,7415.0,7362.0,7391.22,10320.811,7215.04,7466.651780000005,o_short,2019-12-25 12:00:00,1290.0,short,o_short,False,False,-172.47000000000025,7387.51,2019-12-29 14:00:00,1339.0,e_short,-1099.4900000000007
2020-01-03 10:00:00,7345.15,7368.33,7280.44,7338.11,16857.582000000002,7163.61,7288.11752,o_short,2019-12-31 18:00:00,1365.0,short,o_short,False,False,-181.53999999999996,7345.15,2020-01-03 10:00:00,1397.0,e_short,-1281.0300000000007
2020-02-25 18:00:00,9344.49,9412.04,9328.59,9368.3,8394.257,8416.56,7725.103379999997,o_long,2020-01-24 12:00:00,1650.0,long,o_long,False,False,927.9300000000003,9344.49,2020-02-25 18:00:00,2037.0,e_long,-353.10000000000036
2020-04-06 16:00:00,7138.74,7217.67,7070.0,7201.68,53337.708000000006,6516.58,8110.252580000014,o_short,2020-03-25 12:00:00,2382.0,short,o_short,False,False,-622.5500000000002,7139.13,2020-04-06 16:00:00,2528.0,e_short,-975.6500000000005
2020-04-13 22:00:00,6824.02,6890.38,6801.0,6834.0,23931.302999999996,6685.01,6860.919060000011,o_short,2020-04-13 02:00:00,2605.0,short,o_short,False,False,-139.01000000000022,6824.02,2020-04-13 22:00:00,2615.0,e_short,-1114.6600000000008
2020-06-11 20:00:00,9281.0,9369.0,9228.6,9351.81,26570.515999999996,6888.35,6700.860800000009,o_long,2020-04-16 08:00:00,2644.0,long,o_long,False,False,2392.6399999999994,9280.99,2020-06-11 20:00:00,3322.0,e_long,1277.9799999999987
2020-06-12 18:00:00,9329.44,9445.0,9315.0,9427.04,23854.835000000003,9488.59,9365.404840000005,o_long,2020-06-12 12:00:00,3330.0,long,o_long,False,False,-158.63000000000102,9329.96,2020-06-12 18:00:00,3333.0,e_long,1119.3499999999976
2020-06-17 16:00:00,9392.99,9425.3,9350.39,9398.0,24883.902999999995,9559.49,9408.739339999996,o_long,2020-06-16 04:00:00,3374.0,long,o_long,False,False,-166.4400000000005,9393.05,2020-06-17 16:00:00,3392.0,e_long,952.9099999999971
2020-06-24 12:00:00,9337.27,9440.59,9257.76,9355.29,35801.087999999996,9586.35,9431.819359999996,o_long,2020-06-22 18:00:00,3453.0,long,o_long,False,False,-249.09000000000015,9337.26,2020-06-24 12:00:00,3474.0,e_long,703.819999999997
2020-07-08 14:00:00,9433.0,9470.0,9391.8,9410.92,30881.721999999994,9227.91,9398.773560000005,o_short,2020-07-07 10:00:00,3629.0,short,o_short,False,False,-205.09000000000015,9433.0,2020-07-08 14:00:00,3643.0,e_short,498.72999999999683
2020-07-21 08:00:00,9315.0,9341.55,9300.01,9313.29,17869.506,9211.0,9409.390240000002,o_short,2020-07-09 16:00:00,3656.0,short,o_short,False,False,-103.8700000000008,9314.87,2020-07-21 08:00:00,3796.0,e_short,394.85999999999603
2020-09-02 14:00:00,11347.67,11378.85,11210.0,11340.25,31120.152,11761.52,10843.999040000002,o_long,2020-08-24 08:00:00,4204.0,long,o_long,False,False,-413.8600000000006,11347.66,2020-09-02 14:00:00,4315.0,e_long,-19.000000000004547
2020-10-01 12:00:00,10903.16,10908.23,10846.0,10860.0,3810.046893,10785.31,11284.818659999979,o_short,2020-09-16 00:00:00,4476.0,short,o_short,False,False,-117.85000000000036,10903.16,2020-10-01 12:00:00,4662.0,e_short,-136.8500000000049
2020-10-06 00:00:00,10792.2,10800.0,10738.08,10762.13,2662.210543,10482.39,10894.323259999986,o_short,2020-10-01 18:00:00,4665.0,short,o_short,False,False,-309.8199999999997,10792.21,2020-10-06 00:00:00,4716.0,e_short,-446.6700000000046
2020-10-08 16:00:00,10896.96,10945.0,10866.18,10880.18,6135.582249000001,10711.15,10778.81651999999,o_short,2020-10-06 08:00:00,4720.0,short,o_short,False,False,-185.8099999999995,10896.96,2020-10-08 16:00:00,4748.0,e_short,-632.4800000000041
